GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestion-vuelos,edu.universidad.gestionvuelos,ReservaVuelo,0,45,3,7,0,8,3,6,0,4
gestion-vuelos,edu.universidad.gestionvuelos,Vuelo,0,56,0,4,0,17,0,9,0,7
